date,trade_return
2025-07-28,-0.004842
2025-07-29,0.012077
2025-07-30,0.000659
2025-07-31,0.004944
2025-08-01,0.003202
2025-08-04,0.008713
2025-08-05,-6.4e-05
2025-08-06,0.012411
2025-08-07,-0.011875
2025-08-08,0.006423
2025-08-11,-0.009317
2025-08-12,-0.006351
2025-08-13,-0.008407
2025-08-14,-0.00466
2025-08-15,0.001325
2025-08-18,0.015075
2025-08-19,-0.00959
2025-08-20,0.005337
2025-08-21,-0.000326
2025-08-22,0.001396
2025-08-25,0.01603
2025-08-26,0.010919
2025-08-27,0.019711
2025-08-28,-0.005383
2025-08-29,-0.002655
2025-09-01,0.002538
2025-09-02,0.007667
2025-09-03,0.006942
2025-09-04,-0.006928
2025-09-05,0.005995
2025-09-08,0.007511
2025-09-09,0.032692
2025-09-10,0.030415
2025-09-11,-0.031644
2025-09-12,0.003857
2025-09-15,-0.024811
2025-09-16,0.005494
2025-09-17,-0.006622
2025-09-18,-0.040618
2025-09-19,0.014566
2025-09-22,-0.0161
2025-09-23,-0.014678
2025-09-24,0.003211
2025-09-25,-0.006687
2025-09-26,-0.000824
2025-09-29,-0.004645
2025-09-30,0.003963
2025-10-01,-0.014335
2025-10-02,-0.011137
2025-10-03,0.028422
2025-10-06,-0.009162
2025-10-07,-0.007065
2025-10-08,0.025206
2025-10-09,0.036956
2025-10-10,-0.007887
2025-10-13,0.000949
2025-10-14,0.008757
2025-10-15,0.024016
2025-10-16,-0.005855
2025-10-17,0.002302
2025-10-20,0.013551
2025-10-21,0.009782
2025-10-22,0.000862
2025-10-23,0.003528
2025-10-24,-0.010124
2025-10-27,0.00238
2025-10-28,0.00207
2025-10-29,0.007554
2025-10-30,-0.001109
2025-10-31,0.010187
2025-11-03,0.01614
2025-11-04,0.00671
2025-11-05,0.008869
2025-11-06,0.005585
2025-11-07,0.005001
2025-11-10,-0.002937
2025-11-11,0.008481
2025-11-12,0.00393
2025-11-13,0.028025
2025-11-14,0.022307
2025-11-17,0.009244
2025-11-18,-0.003394
2025-11-19,-0.007237
2025-11-20,0.018103
2025-11-21,0.00789
2025-11-24,0.010282
2025-11-25,-0.01419
2025-11-26,0.015202
2025-11-27,0.009999
2025-11-28,-0.007215
2025-12-01,-0.000187
2025-12-02,0.007901
2025-12-03,0.005577
2025-12-04,0.001786
2025-12-05,0.003862
2025-12-08,0.002228
2025-12-09,0.006678
2025-12-10,0.021186
2025-12-11,-0.023233
2025-12-12,0.002395
2025-12-15,0.014711
2025-12-16,0.008256
2025-12-17,0.000909
2025-12-18,-0.014324
2025-12-19,-0.033901
2025-12-22,0.023277
2025-12-23,0.013904
2025-12-24,-0.01839
2025-12-25,-0.03405
2025-12-26,-0.063291
2025-12-29,-0.006582
2025-12-30,0.001321
2025-12-31,0.0193
2026-01-01,0.011409
2026-01-02,0.024055
2026-01-05,0.017952
2026-01-06,0.00983
2026-01-07,0.024183
2026-01-08,0.009829
2026-01-09,0.014108
2026-01-12,0.001738
2026-01-13,0.005732
2026-01-14,-0.002672
2026-01-15,0.015885
2026-01-16,-0.007961
2026-01-19,0.013606
2026-01-20,0.002903
2026-01-21,0.017884
2026-01-22,0.01326
2026-01-23,0.025027
2026-01-26,0.013039
2026-01-27,-0.012292
2026-01-28,0.004264
2026-01-29,-0.007892
2026-01-30,-0.000701
2026-02-02,0.021624
2026-02-03,0.012013
2026-02-04,-0.012971
2026-02-05,0.005047
2026-02-06,-0.035315
2026-02-09,0.008749
2026-02-10,-0.014775
2026-02-11,0.018956
2026-02-12,0.017708
2026-02-13,0.011696
2026-02-16,-0.020204
2026-02-17,0.008348
2026-02-18,0.005792
2026-02-19,0.009553
2026-02-20,0.022778
2026-02-23,-0.017696
2026-02-24,-0.001502
2026-02-25,0.0115
2026-02-26,-0.012398
2026-02-27,0.021235
2026-03-02,0.009052
2026-03-03,0.014312
2026-03-04,-0.00128
2026-03-05,0.013951
2026-03-06,0.016753
2026-03-09,0.007562
2026-03-10,0.007578
2026-03-11,0.007974
2026-03-12,-0.004497
2026-03-13,0.003377
2026-03-16,0.003322
2026-03-17,0.009217
2026-03-18,0.015998
2026-03-19,-0.006644
2026-03-20,0.003625
2026-03-23,0.010788
2026-03-24,-0.007193
2026-03-25,-0.017058
2026-03-26,0.006969
2026-03-27,0.014288
2026-03-30,0.005126
2026-03-31,0.019619
2026-04-01,0.014425
2026-04-02,-0.021994
2026-04-03,0.011095
2026-04-06,0.030604
2026-04-07,0.002743
2026-04-08,-0.017039
2026-04-09,0.022647
2026-04-10,-3.5e-05
2026-04-13,0.006187
2026-04-14,0.019405
2026-04-15,-0.012625
2026-04-16,-0.008768
2026-04-17,-0.012614
2026-04-20,-0.003735
2026-04-21,0.009836
2026-04-22,0.010766
2026-04-23,0.008039
2026-04-24,-0.01054
2026-04-27,-0.020411
2026-04-28,0.005598
2026-04-29,-0.00019
2026-04-30,0.010053
2026-05-01,0.012721
